id_estacao,data_medicao,acumulado_chuva_5min,acumulado_chuva_10min,acumulado_chuva_15min,acumulado_chuva_30min,acumulado_chuva_1h,acumulado_chuva_2h,acumulado_chuva_3h,acumulado_chuva_4h,acumulado_chuva_6h,acumulado_chuva_12h,acumulado_chuva_24h,acumulado_chuva_96h,acumulado_chuva_mes,data_particao,primary_key
29,2024-03-21T20:15:00,0.4,1.2,2.0,14.0,16.4,16.4,16.4,16.4,,16.4,16.4,16.4,90.8,2024-03-21,29_2024-03-21 20:15:00
13,2024-03-21T18:15:00,0.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,33.6,2024-03-21,13_2024-03-21 18:15:00
32,2024-03-21T21:15:00,0.6,1.6,4.8,5.0,5.0,6.6,8.0,8.0,8.0,8.0,8.0,8.2,36.2,2024-03-21,32_2024-03-21 21:15:00
32,2024-03-21T21:30:00,0.2,1.2,2.0,6.8,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.2,38.2,2024-03-21,32_2024-03-21 21:30:00
24,2024-03-21T23:55:00,0.0,0.0,0.0,0.0,0.0,0.0,1.2,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:55:00
24,2024-03-21T23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,2.8,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:50:00
24,2024-03-21T23:45:00,0.0,0.0,0.0,0.0,0.0,0.0,3.8,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:45:00
24,2024-03-21T23:35:00,0.0,0.0,0.0,0.0,0.0,0.0,8.6,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:35:00
24,2024-03-21T23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,10.4,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:30:00
24,2024-03-21T23:25:00,0.0,0.0,0.0,0.0,0.0,0.0,12.6,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:25:00
24,2024-03-21T23:15:00,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:15:00
24,2024-03-21T23:10:00,0.0,0.0,0.0,0.0,0.0,0.2,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:10:00
24,2024-03-21T23:05:00,0.0,0.0,0.0,0.0,0.0,0.2,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 23:05:00
24,2024-03-21T22:50:00,0.0,0.0,0.0,0.0,0.0,2.8,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:50:00
24,2024-03-21T22:45:00,0.0,0.0,0.0,0.0,0.0,3.8,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:45:00
24,2024-03-21T22:40:00,0.0,0.0,0.0,0.0,0.0,5.4,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:40:00
24,2024-03-21T22:35:00,0.0,0.0,0.0,0.0,0.0,8.6,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:35:00
24,2024-03-21T22:25:00,0.0,0.0,0.0,0.0,0.0,12.6,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:25:00
24,2024-03-21T22:10:00,0.0,0.0,0.0,0.0,0.2,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:10:00
24,2024-03-21T22:05:00,0.0,0.0,0.0,0.0,0.2,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:05:00
24,2024-03-21T22:00:00,0.0,0.0,0.0,0.0,0.4,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 22:00:00
24,2024-03-21T21:35:00,0.0,0.0,0.0,0.2,8.6,16.0,16.0,16.0,16.0,16.0,16.0,19.4,76.4,2024-03-21,24_2024-03-21 21:35:00
