primary_key,id_estacao,acumulado_chuva_15_min,acumulado_chuva_1_h,acumulado_chuva_4_h,acumulado_chuva_24_h,acumulado_chuva_96_h,horario,data_particao
5_2024-03-22 13:10:00,5,,8.0,12.0,13.6,13.6,13:10:00,2024-03-22
5_2024-03-22 11:10:00,5,,0.2,,2.8,2.8,11:10:00,2024-03-22
5_2024-03-22 16:10:00,5,,2.6,16.8,22.4,22.4,16:10:00,2024-03-22
25_2024-03-22 21:10:00,25,,3.0,5.2,19.8,32.2,21:10:00,2024-03-22
26_2024-03-22 18:15:00,26,,5.4,36.2,63.6,63.6,18:15:00,2024-03-22
26_2024-03-22 12:15:00,26,,5.2,12.0,12.2,12.2,12:15:00,2024-03-22
27_2024-03-22 10:30:00,27,,1.4,4.6,6.4,6.4,10:30:00,2024-03-22
31_2024-03-22 14:45:00,31,,13.8,31.4,38.2,38.2,14:45:00,2024-03-22
31_2024-03-22 09:20:00,31,,1.4,1.4,1.4,1.4,09:20:00,2024-03-22
37_2024-03-22 11:55:00,37,,6.8,11.0,11.4,11.8,11:55:00,2024-03-22
37_2024-03-22 20:15:00,37,,7.2,25.4,85.0,85.4,20:15:00,2024-03-22
48_2024-03-22 09:20:00,48,,1.2,1.2,4.0,6.4,09:20:00,2024-03-22
51_2024-03-22 13:10:00,51,,8.2,9.6,10.8,11.0,13:10:00,2024-03-22
56_2024-03-22 17:40:00,56,,7.6,50.0,78.6,78.6,17:40:00,2024-03-22
56_2024-03-22 11:10:00,56,,1.8,9.2,9.2,9.2,11:10:00,2024-03-22
75_2024-03-22 17:20:00,75,,7.6,46.4,75.8,75.8,17:20:00,2024-03-22
75_2024-03-22 14:20:00,75,,14.2,39.8,43.6,43.6,14:20:00,2024-03-22
78_2024-03-22 19:20:00,78,,1.2,3.4,24.4,32.2,19:20:00,2024-03-22
82_2024-03-22 07:05:00,82,,,0.0,5.6,5.6,07:05:00,2024-03-22
37_2024-03-22 08:55:00,37,,0.0,0.0,,0.8,08:55:00,2024-03-22
47_2024-03-22 07:50:00,47,,,,,4.2,07:50:00,2024-03-22
5_2024-03-22 07:50:00,5,,,,0.0,0.0,07:50:00,2024-03-22
